type,part,model,optparams,et_max,ep_max,a_max,acc,acc_opt,bal,bal_opt,coh,coh_opt,timestamp,acc-0,acc-opt-0,prec-0,prec-opt-0,rec-0,rec-opt-0,f1-0,f1-opt-0,sup-0,sup-opt-0,acc-1,acc-opt-1,prec-1,prec-opt-1,rec-1,rec-opt-1,f1-1,f1-opt-1,sup-1,sup-opt-1,acc-2,acc-opt-2,prec-2,prec-opt-2,rec-2,rec-opt-2,f1-2,f1-opt-2,sup-2,sup-opt-2,acc-3,acc-opt-3,prec-3,prec-opt-3,rec-3,rec-opt-3,f1-3,f1-opt-3,sup-3,sup-opt-3,acc-4,acc-opt-4,prec-4,prec-opt-4,rec-4,rec-opt-4,f1-4,f1-opt-4,sup-4,sup-opt-4,subject,record
hmm,0,usleep,0,0,0,0,0.5192507804370448,0.36420395421436,0.501872603656168,0.2700823564778684,0.3817018094311009,0.13443970924464632,2022-10-05 10:42:27,0.3422939068100358,0.7025089605734767,0.9896373056994818,0.31715210355987056,0.34229390681003585,0.7025089605734767,0.5086551264980026,0.43701226309921964,558,558,0.6705685618729097,0.28093645484949836,0.4825511432009627,0.49122807017543857,0.6705685618729097,0.2809364548494983,0.5612316305108468,0.35744680851063826,598,598,0.3461538461538462,0.07692307692307693,0.09215017064846416,0.0375,0.34615384615384615,0.07692307692307693,0.14555256064690025,0.05042016806722689,78,78,0.6460176991150443,0.0,0.40443213296398894,0.0,0.6460176991150443,0.0,0.49744463373083475,0.0,226,226,0.5043290043290043,0.29004329004329005,0.9549180327868853,0.9781021897810219,0.5043290043290043,0.29004329004329005,0.660056657223796,0.44741235392320533,462,462,0,0
hmm,0,usleep,0,0,0,0,0.5884030418250951,0.3593155893536122,0.637232315767343,0.33967214449127614,0.4413608976174972,0.15709186660603847,2022-10-05 10:42:27,0.5049751243781095,0.7810945273631842,0.9902439024390244,0.21700069108500344,0.5049751243781094,0.7810945273631841,0.6688632619439867,0.3396430502974581,402,402,0.5151228733459357,0.29206049149338376,0.725699067909454,0.7822784810126582,0.5151228733459358,0.29206049149338376,0.6025428413488115,0.42532690984170685,1058,1058,0.4066666666666667,0.09333333333333334,0.22592592592592592,0.2692307692307692,0.4066666666666667,0.09333333333333334,0.29047619047619044,0.13861386138613863,150,150,0.8354838709677419,0.16774193548387098,0.3786549707602339,0.4094488188976378,0.8354838709677419,0.16774193548387098,0.5211267605633803,0.23798627002288328,310,310,0.9239130434782609,0.3641304347826087,0.8762886597938144,0.8072289156626506,0.9239130434782609,0.3641304347826087,0.8994708994708995,0.50187265917603,184,184,3,0
hmm,0,usleep,0,0,0,0,0.7023276633840645,0.36884512085944493,0.6360972867575947,0.3489323408924405,0.5896268214745048,0.20256460109243146,2022-10-05 10:42:27,0.7581521739130435,0.9130434782608695,0.9362416107382551,0.21566110397946084,0.7581521739130435,0.9130434782608695,0.8378378378378379,0.34890965732087226,368,368,0.7854368932038835,0.32233009708737864,0.8323045267489712,0.8877005347593583,0.7854368932038835,0.32233009708737864,0.8081918081918081,0.47293447293447294,1030,1030,0.3591549295774648,0.1267605633802817,0.17346938775510204,0.15789473684210525,0.3591549295774648,0.1267605633802817,0.23394495412844038,0.140625,142,142,0.7175572519083969,0.16030534351145037,0.44761904761904764,0.4666666666666667,0.7175572519083969,0.16030534351145037,0.5513196480938416,0.23863636363636362,262,262,0.5601851851851852,0.2222222222222222,0.968,0.9795918367346939,0.5601851851851852,0.2222222222222222,0.7096774193548389,0.36226415094339626,432,432,8,0
hmm,0,usleep,0,0,0,0,0.4554695062923524,0.2526621490803485,0.5109203353712,0.31347615568280407,0.3267964693635551,0.1069482635920126,2022-10-05 10:42:27,0.8874172185430463,0.9205298013245033,0.9816849816849816,0.18963165075034105,0.8874172185430463,0.9205298013245033,0.9321739130434783,0.31447963800904977,302,302,0.3456521739130435,0.1141304347826087,0.8571428571428571,0.7720588235294118,0.3456521739130435,0.11413043478260869,0.4926413632842757,0.19886363636363638,920,920,0.25190839694656486,0.08396946564885496,0.11870503597122302,0.11578947368421053,0.25190839694656486,0.08396946564885496,0.16136919315403422,0.09734513274336283,262,262,0.19753086419753085,0.018518518518518517,0.1839080459770115,0.04878048780487805,0.19753086419753085,0.018518518518518517,0.1904761904761905,0.026845637583892617,324,324,0.872093023255814,0.43023255813953487,0.4343629343629344,0.7350993377483444,0.872093023255814,0.43023255813953487,0.5798969072164948,0.5427872860635697,258,258,18,0
hmm,1,usleep,0,0,0,0,0.45585412667946257,0.14779270633397312,0.47313327389410603,0.2616215774427472,0.256647456298562,0.03920901837015789,2022-10-05 10:42:28,0.1323529411764706,0.8235294117647058,0.2903225806451613,0.038356164383561646,0.1323529411764706,0.8235294117647058,0.18181818181818182,0.07329842931937172,68,68,0.40212443095599393,0.15098634294385432,0.9090909090909091,0.961352657004831,0.40212443095599393,0.15098634294385432,0.5576012624934246,0.26098360655737707,1318,1318,0.32608695652173914,0.10144927536231885,0.10321100917431193,0.12727272727272726,0.32608695652173914,0.10144927536231885,0.15679442508710803,0.11290322580645161,138,138,0.5051020408163266,0.0,0.27808988764044945,0.0,0.5051020408163265,0.0,0.358695652173913,0.0,392,392,1.0,0.23214285714285715,0.5217391304347826,0.52,1.0,0.23214285714285715,0.6857142857142856,0.32098765432098764,168,168,4,0
hmm,1,usleep,0,0,0,0,0.7347781217750258,0.3993808049535604,0.704184285500075,0.3961942070275404,0.6624958579905715,0.23945268881588533,2022-10-05 10:42:28,0.8846153846153846,0.9278846153846154,0.9558441558441558,0.28720238095238093,0.8846153846153846,0.9278846153846154,0.9188514357053683,0.43863636363636366,416,416,0.6296296296296297,0.16049382716049382,0.8774193548387097,0.7761194029850746,0.6296296296296297,0.16049382716049382,0.7331536388140161,0.26598465473145777,648,648,0.2631578947368421,0.19999999999999996,0.26737967914438504,0.3333333333333333,0.2631578947368421,0.2,0.2652519893899204,0.25,190,190,0.8240740740740741,0.09259259259259259,0.565677966101695,0.45454545454545453,0.8240740740740741,0.09259259259259259,0.670854271356784,0.15384615384615383,324,324,0.9194444444444444,0.6,0.7715617715617715,0.7714285714285715,0.9194444444444444,0.6,0.8390367553865653,0.675,360,360,7,0
hmm,1,usleep,0,0,0,0,0.7668650793650794,0.40575396825396826,0.7023449708839744,0.44617010690322534,0.6826579141268672,0.2399572769264562,2022-10-05 10:42:28,0.9223300970873787,0.9514563106796117,0.7983193277310925,0.2679425837320574,0.9223300970873787,0.9514563106796117,0.8558558558558559,0.41813333333333336,412,412,0.773067331670823,0.22693266832917705,0.7818411097099621,0.7647058823529411,0.773067331670823,0.22693266832917705,0.7774294670846397,0.35,802,802,0.24626865671641793,0.4328358208955224,0.32038834951456313,0.7945205479452054,0.2462686567164179,0.43283582089552236,0.2784810126582279,0.5603864734299516,134,134,0.7216981132075472,0.19339622641509435,0.7303102625298329,0.6119402985074627,0.7216981132075472,0.19339622641509435,0.7259786476868327,0.2939068100358423,424,424,0.8483606557377049,0.4262295081967213,0.92,0.9629629629629629,0.8483606557377049,0.4262295081967213,0.8827292110874201,0.5909090909090909,244,244,10,0
hmm,1,usleep,0,0,0,0,0.6937751004016064,0.3569277108433735,0.6295008224895821,0.36648200637896877,0.546611563957276,0.18411713021758558,2022-10-05 10:42:28,0.8459119496855346,0.8930817610062893,0.8539682539682539,0.21005917159763313,0.8459119496855346,0.8930817610062893,0.8499210110584519,0.34011976047904185,318,318,0.6781914893617021,0.2375886524822695,0.881336405529954,0.950354609929078,0.6781914893617021,0.2375886524822695,0.7665330661322647,0.3801418439716312,1128,1128,0.03333333333333333,0.0,0.04054054054054054,0.0,0.03333333333333333,0.0,0.03658536585365854,0.0,90,90,0.7037037037037037,0.345679012345679,0.41681901279707495,0.46473029045643155,0.7037037037037037,0.345679012345679,0.52353616532721,0.3964601769911505,324,324,0.8863636363636364,0.3560606060606061,0.6223404255319149,0.5164835164835165,0.8863636363636364,0.3560606060606061,0.7312500000000001,0.42152466367713004,132,132,16,0
hmm,2,usleep,0,0,0,0,0.7668004012036108,0.4227683049147442,0.7198794308186726,0.39127054729883665,0.6984478950120854,0.24987710908268468,2022-10-05 10:42:28,0.9400000000000001,0.9555555555555556,0.8011363636363636,0.30196629213483145,0.94,0.9555555555555556,0.8650306748466258,0.4589114194236926,450,450,0.652112676056338,0.31408450704225355,0.9007782101167315,0.902834008097166,0.652112676056338,0.31408450704225355,0.7565359477124183,0.46603970741901773,710,710,0.3431372549019608,0.2254901960784314,0.18617021276595744,0.3484848484848485,0.3431372549019608,0.22549019607843138,0.24137931034482757,0.27380952380952384,102,102,0.7647058823529411,0.11764705882352941,0.7606382978723404,0.46808510638297873,0.7647058823529411,0.11764705882352941,0.7626666666666667,0.18803418803418803,374,374,0.8994413407821229,0.3435754189944134,0.8298969072164949,0.754601226993865,0.8994413407821229,0.3435754189944134,0.8632707774798928,0.4721689059500959,358,358,5,0
hmm,2,usleep,0,0,0,0,0.5528100775193798,0.3793604651162791,0.379217978870603,0.26810830508824196,0.3277219351277949,0.09237009554201348,2022-10-05 10:42:28,0.9097633136094675,0.9585798816568047,0.632065775950668,0.3776223776223776,0.9097633136094675,0.9585798816568047,0.7459066100667071,0.5418060200668896,676,676,0.5644768856447688,0.12043795620437957,0.5172798216276477,0.4852941176470588,0.5644768856447688,0.12043795620437957,0.5398487492728331,0.1929824561403509,822,822,0.09848484848484848,0.11363636363636363,0.203125,0.13392857142857142,0.09848484848484848,0.11363636363636363,0.13265306122448978,0.12295081967213116,132,132,0.02054794520547945,0.0,0.20689655172413793,0.0,0.02054794520547945,0.0,0.037383177570093455,0.0,292,292,0.3028169014084507,0.14788732394366197,0.42574257425742573,0.65625,0.3028169014084507,0.14788732394366197,0.35390946502057613,0.2413793103448276,142,142,9,0
