type,part,model,optparams,et_max,ep_max,a_max,acc,acc_opt,bal,bal_opt,coh,coh_opt,timestamp,acc-0,acc-opt-0,prec-0,prec-opt-0,rec-0,rec-opt-0,f1-0,f1-opt-0,sup-0,sup-opt-0,acc-1,acc-opt-1,prec-1,prec-opt-1,rec-1,rec-opt-1,f1-1,f1-opt-1,sup-1,sup-opt-1,acc-2,acc-opt-2,prec-2,prec-opt-2,rec-2,rec-opt-2,f1-2,f1-opt-2,sup-2,sup-opt-2,acc-3,acc-opt-3,prec-3,prec-opt-3,rec-3,rec-opt-3,f1-3,f1-opt-3,sup-3,sup-opt-3,acc-4,acc-opt-4,prec-4,prec-opt-4,rec-4,rec-opt-4,f1-4,f1-opt-4,sup-4,sup-opt-4,subject,record
hmm,0,usleep,0,0,0,0,0.7085201793721974,0.6457399103139013,0.8248164350629683,0.723827524983149,0.5766338079591091,0.4881847729377372,2022-10-05 10:23:41,0.8728813559322034,0.8728813559322034,1.0,0.5124378109452736,0.8728813559322034,0.8728813559322034,0.9321266968325792,0.6457680250783698,118,118,0.8974358974358975,0.6367521367521367,0.515970515970516,0.45565749235474007,0.8974358974358975,0.6367521367521367,0.6552262090483619,0.5311942959001782,234,234,0.5557851239669422,0.5640495867768595,0.9471830985915493,0.9285714285714286,0.5557851239669421,0.5640495867768595,0.7005208333333334,0.7017994858611825,484,484,0.9090909090909091,0.5454545454545454,0.24390243902439024,0.2727272727272727,0.9090909090909091,0.5454545454545454,0.38461538461538464,0.3636363636363636,11,11,0.8888888888888888,1.0,0.7017543859649122,0.9375,0.8888888888888888,1.0,0.7843137254901961,0.967741935483871,45,45,37,1
hmm,0,usleep,0,0,0,0,0.761114797611148,0.6927670869276709,0.8067613104227249,0.6200402601382364,0.66033249249159,0.5226732285834688,2022-10-05 10:23:41,0.8808823529411764,0.9058823529411765,0.9966722129783694,0.6739606126914661,0.8808823529411764,0.9058823529411765,0.9352068696330992,0.7728983688833125,680,680,0.7659574468085106,0.6737588652482269,0.47368421052631576,0.6270627062706271,0.7659574468085106,0.6737588652482269,0.5853658536585366,0.6495726495726496,282,282,0.5473441108545035,0.4387990762124711,0.8345070422535211,0.8444444444444444,0.5473441108545035,0.4387990762124711,0.6610878661087867,0.5775075987841946,433,433,1.0,0.6666666666666666,0.15,0.2,1.0,0.6666666666666666,0.2608695652173913,0.30769230769230765,6,6,0.839622641509434,0.41509433962264153,0.7063492063492064,0.9777777777777777,0.839622641509434,0.41509433962264153,0.7672413793103449,0.5827814569536424,106,106,37,2
hmm,0,usleep,0,0,0,0,0.7320754716981132,0.7084905660377359,0.7097909748385737,0.5189363080329867,0.6364264380684611,0.5818705910287407,2022-10-05 10:23:41,0.8694581280788177,0.916256157635468,0.9644808743169399,0.7380952380952381,0.8694581280788177,0.916256157635468,0.9145077720207253,0.8175824175824177,406,406,0.7607361963190185,0.6073619631901841,0.41471571906354515,0.43612334801762115,0.7607361963190185,0.6073619631901841,0.5367965367965368,0.5076923076923077,163,163,0.5278514588859416,0.6074270557029178,0.9128440366972477,0.950207468879668,0.5278514588859416,0.6074270557029178,0.66890756302521,0.7411003236245955,377,377,0.5,0.0,0.0625,0.0,0.5,0.0,0.1111111111111111,0.0,4,4,0.8909090909090909,0.4636363636363636,0.6758620689655173,0.7285714285714285,0.8909090909090909,0.4636363636363636,0.7686274509803921,0.5666666666666667,110,110,40,1
hmm,0,usleep,0,0,0,0,0.7994402985074627,0.710820895522388,0.7810572158329138,0.6940067870936403,0.7385110742511465,0.6232139739179534,2022-10-05 10:23:41,0.8708133971291866,0.8708133971291866,0.9837837837837838,0.5449101796407185,0.8708133971291866,0.8708133971291866,0.9238578680203046,0.6703499079189686,209,209,0.6521739130434783,0.4782608695652174,0.3614457831325301,0.4074074074074074,0.6521739130434783,0.4782608695652174,0.4651162790697674,0.44000000000000006,92,92,0.864,0.7466666666666667,0.8372093023255814,0.8045977011494253,0.864,0.7466666666666667,0.8503937007874015,0.7745504840940526,375,375,0.8450704225352113,0.8309859154929577,0.8333333333333334,0.9007633587786259,0.8450704225352113,0.8309859154929577,0.8391608391608393,0.8644688644688645,142,142,0.6732283464566929,0.5433070866141733,0.9,0.9139072847682119,0.6732283464566929,0.5433070866141733,0.7702702702702704,0.6814814814814815,254,254,40,2
hmm,0,usleep,0,0,0,0,0.6652719665271967,0.596652719665272,0.6548188531262301,0.5432391855766172,0.560903913283116,0.44416351912361596,2022-10-05 10:23:41,0.8966346153846154,0.9110576923076923,0.9815789473684211,0.6132686084142395,0.8966346153846154,0.9110576923076923,0.9371859296482413,0.7330754352030948,416,416,0.7704918032786885,0.6502732240437158,0.38524590163934425,0.4594594594594595,0.7704918032786885,0.6502732240437158,0.5136612021857924,0.5384615384615384,183,183,0.4074074074074074,0.3382716049382716,0.7205240174672489,0.7486338797814208,0.4074074074074074,0.33827160493827163,0.5205047318611986,0.4659863945578232,405,405,0.43956043956043955,0.4065934065934066,0.9523809523809523,1.0,0.43956043956043955,0.4065934065934066,0.6015037593984962,0.578125,91,91,0.76,0.41,0.42696629213483145,0.41836734693877553,0.76,0.41,0.5467625899280575,0.41414141414141414,100,100,44,1
hmm,0,usleep,0,0,0,0,0.6876155268022182,0.6423290203327172,0.7539827727645612,0.7205719088291592,0.5855834213424833,0.5215955725762964,2022-10-05 10:23:41,0.7500000000000001,0.7536764705882353,0.9807692307692307,0.584045584045584,0.75,0.7536764705882353,0.8499999999999999,0.6581059390048154,272,272,0.717391304347826,0.4891304347826087,0.23826714801444043,0.21739130434782608,0.717391304347826,0.4891304347826087,0.3577235772357724,0.3010033444816054,92,92,0.5905660377358491,0.5113207547169811,0.9098837209302325,0.8973509933774835,0.590566037735849,0.5113207547169811,0.7162471395881006,0.6514423076923077,530,530,0.8369565217391305,0.8695652173913043,0.719626168224299,0.7339449541284404,0.8369565217391305,0.8695652173913043,0.7738693467336683,0.7960199004975125,92,92,0.875,0.9791666666666666,0.5753424657534246,0.831858407079646,0.875,0.9791666666666666,0.6942148760330579,0.8995215311004785,96,96,44,2
hmm,0,usleep,0,0,0,0,0.7980132450331126,0.8004966887417219,0.7998444255478951,0.8042191823930818,0.7438774304324554,0.747047579327842,2022-10-05 10:23:41,0.8513011152416357,0.8475836431226765,0.6918429003021148,0.6477272727272727,0.8513011152416357,0.8475836431226765,0.7633333333333333,0.7342995169082126,269,269,0.4723404255319148,0.3829787234042553,0.5904255319148937,0.5660377358490566,0.4723404255319149,0.3829787234042553,0.524822695035461,0.4568527918781726,235,235,0.748062015503876,0.810077519379845,0.9368932038834952,0.9330357142857143,0.748062015503876,0.810077519379845,0.831896551724138,0.8672199170124482,258,258,0.9706840390879479,0.9804560260586319,0.9113149847094801,0.9585987261146497,0.9706840390879479,0.9804560260586319,0.9400630914826498,0.9694041867954912,307,307,0.9568345323741008,1.0,0.8525641025641025,0.8742138364779874,0.9568345323741008,1.0,0.9016949152542374,0.9328859060402684,139,139,45,1
hmm,0,usleep,0,0,0,0,0.8048151332760103,0.7454858125537404,0.8129921867050868,0.7370856822674524,0.7534482098446637,0.6777820418019974,2022-10-05 10:23:41,0.9095744680851064,0.9148936170212767,0.8104265402843602,0.5530546623794212,0.9095744680851063,0.9148936170212766,0.8571428571428572,0.68937875751503,188,188,0.6851851851851852,0.38271604938271603,0.5235849056603774,0.5344827586206896,0.6851851851851852,0.38271604938271603,0.5935828877005349,0.44604316546762585,162,162,0.6871508379888268,0.6703910614525139,0.9077490774907749,0.8480565371024735,0.6871508379888268,0.6703910614525139,0.7821939586645469,0.748829953198128,358,358,0.9213483146067416,0.8876404494382022,0.8601398601398601,0.915057915057915,0.9213483146067416,0.8876404494382022,0.8896925858951176,0.9011406844106464,267,267,0.8617021276595744,0.8297872340425532,0.8852459016393442,0.8041237113402062,0.8617021276595744,0.8297872340425532,0.8733153638814016,0.8167539267015708,188,188,45,2
hmm,0,usleep,0,0,0,0,0.7888505180069068,0.686235816477553,0.7379656051772367,0.569260771275794,0.6922901217140125,0.49807119974957526,2022-10-05 10:23:41,0.9946004319654429,0.9935205183585313,0.8575418994413407,0.6314344543582704,0.9946004319654428,0.9935205183585313,0.921,0.7721359630717582,926,926,0.3311036789297659,0.20401337792642144,0.4419642857142857,0.5922330097087378,0.3311036789297659,0.2040133779264214,0.37858508604206503,0.3034825870646766,299,299,0.6454352441613589,0.5562632696390658,0.9529780564263323,0.9632352941176471,0.6454352441613588,0.5562632696390658,0.7696202531645568,0.7052489905787349,471,471,0.9263157894736842,0.7789473684210526,0.6470588235294118,0.7551020408163265,0.9263157894736842,0.7789473684210526,0.7619047619047619,0.7668393782383419,95,95,0.7923728813559322,0.3135593220338983,0.6824817518248175,0.7628865979381443,0.7923728813559322,0.3135593220338983,0.7333333333333334,0.4444444444444444,236,236,48,1
hmm,0,usleep,0,0,0,0,0.8820754716981132,0.8684486373165619,0.8423431851551267,0.8058299926696295,0.8230300811761389,0.8015032283681923,2022-10-05 10:23:41,0.9772256728778468,0.9782608695652174,0.9884816753926702,0.9792746113989638,0.9772256728778468,0.9782608695652174,0.982821447162936,0.9787674779906784,966,966,0.5205479452054795,0.3013698630136986,0.628099173553719,0.6111111111111112,0.5205479452054794,0.3013698630136986,0.5692883895131087,0.4036697247706422,146,146,0.7576923076923077,0.7557692307692307,0.9471153846153846,0.916083916083916,0.7576923076923077,0.7557692307692307,0.8418803418803419,0.828240252897787,520,520,1.0,1.0,0.6041666666666666,0.5858585858585859,1.0,1.0,0.7532467532467533,0.7388535031847133,116,116,0.95625,0.99375,0.6830357142857143,0.6516393442622951,0.95625,0.99375,0.796875,0.7871287128712872,160,160,48,2
